try,thread,grid_size,iterations,concentration,setuptime,runtime,teardowntime
0,8,4000,1000,0.095045,0.051949,31.800482,0.028905
1,8,4000,1000,0.095045,0.051309,31.833098,0.029879
2,8,4000,1000,0.095045,0.052920,31.811686,0.029800
0,8,4000,1500,0.058997,0.052437,47.658062,0.030936
1,8,4000,1500,0.058997,0.053206,47.748313,0.029184
2,8,4000,1500,0.058997,0.051637,47.624649,0.028922
0,8,6000,500,0.216512,0.105650,34.922567,0.061490
1,8,6000,500,0.216512,0.101591,34.816299,0.063130
2,8,6000,500,0.216512,0.101519,34.785652,0.061791
0,8,6000,1000,0.095045,0.101897,69.603398,0.062142
1,8,6000,1000,0.095045,0.101999,69.723629,0.061259
2,8,6000,1000,0.095045,0.100619,69.968786,0.062329
0,8,6000,1500,0.058997,0.100944,104.642266,0.061185
1,8,6000,1500,0.058997,0.100702,104.508266,0.061305
2,8,6000,1500,0.058997,0.101128,104.589313,0.061849
0,10,2000,500,0.216512,0.012598,3.424877,0.005986
1,10,2000,500,0.216512,0.013192,3.434983,0.006129
2,10,2000,500,0.216512,0.013385,3.438167,0.006093
0,10,2000,1000,0.095045,0.013211,6.889113,0.006309
1,10,2000,1000,0.095045,0.013148,6.875654,0.006568
2,10,2000,1000,0.095045,0.013265,6.891502,0.006351
0,10,2000,1500,0.058997,0.013613,10.344230,0.006259
1,10,2000,1500,0.058997,0.013218,10.318027,0.007008
2,10,2000,1500,0.058997,0.013551,10.309227,0.006590
0,10,4000,500,0.216512,0.051981,13.693592,0.031448
1,10,4000,500,0.216512,0.050352,13.707905,0.031156
2,10,4000,500,0.216512,0.049913,13.683055,0.032292
0,10,4000,1000,0.095045,0.049626,27.408374,0.031702
1,10,4000,1000,0.095045,0.049583,27.352240,0.031333
2,10,4000,1000,0.095045,0.050331,27.546635,0.031338
0,10,4000,1500,0.058997,0.050115,41.201590,0.031282
1,10,4000,1500,0.058997,0.049733,41.161885,0.030997
2,10,4000,1500,0.058997,0.050072,41.091362,0.033131
0,10,6000,500,0.216512,0.102356,30.772431,0.063776
1,10,6000,500,0.216512,0.101410,30.612112,0.064734
2,10,6000,500,0.216512,0.101217,30.694194,0.065548
0,10,6000,1000,0.095045,0.101597,61.488127,0.065182
1,10,6000,1000,0.095045,0.101473,61.475326,0.066149
2,10,6000,1000,0.095045,0.100671,61.566992,0.064153
0,10,6000,1500,0.058997,0.100999,92.215796,0.064793
1,10,6000,1500,0.058997,0.101186,92.748446,0.065456
2,10,6000,1500,0.058997,0.103969,92.738870,0.065862
0,12,2000,500,0.216512,0.012529,3.033818,0.006450
1,12,2000,500,0.216512,0.014450,3.041966,0.006603
2,12,2000,500,0.216512,0.013622,3.048080,0.006627
0,12,2000,1000,0.095045,0.014591,6.082842,0.007105
1,12,2000,1000,0.095045,0.014104,6.082023,0.006829
2,12,2000,1000,0.095045,0.013512,6.080619,0.006725
0,12,2000,1500,0.058997,0.014070,9.128118,0.006779
1,12,2000,1500,0.058997,0.013895,9.124236,0.006902
2,12,2000,1500,0.058997,0.015239,9.126299,0.007058
0,12,4000,500,0.216512,0.055243,12.165904,0.033780
1,12,4000,500,0.216512,0.052126,12.166795,0.034498
2,12,4000,500,0.216512,0.052039,12.163679,0.033339
0,12,4000,1000,0.095045,0.052214,24.323484,0.034046
1,12,4000,1000,0.095045,0.052195,24.339509,0.033190
2,12,4000,1000,0.095045,0.052086,24.307613,0.032904
0,12,4000,1500,0.058997,0.051893,36.463831,0.033398
1,12,4000,1500,0.058997,0.052768,36.487268,0.033864
2,12,4000,1500,0.058997,0.052516,36.536333,0.035255
0,12,6000,500,0.216512,0.106581,27.415025,0.066890
1,12,6000,500,0.216512,0.104192,27.423566,0.066338
2,12,6000,500,0.216512,0.107293,27.435463,0.065890
0,12,6000,1000,0.095045,0.105523,54.852893,0.066285
1,12,6000,1000,0.095045,0.103983,54.465893,0.067586
2,12,6000,1000,0.095045,0.100525,54.381753,0.072289
0,12,6000,1500,0.058997,0.100597,81.584550,0.067474
1,12,6000,1500,0.058997,0.101763,81.532974,0.066345
2,12,6000,1500,0.058997,0.100218,81.578042,0.067242
