try,block_size,grid_size,iterations,concentration,setuptime,runtime,teardowntime
0,32,4000,1500,1.000000,0.083179,0.045725,0.008822
1,32,4000,1500,1.000000,0.084529,0.045165,0.008363
2,32,4000,1500,1.000000,0.082690,0.044673,0.008368
0,4,4000,2000,1.000000,0.085827,0.045231,0.008307
1,4,4000,2000,1.000000,0.083418,0.046285,0.008474
2,4,4000,2000,1.000000,0.084237,0.045705,0.008250
0,8,4000,2000,1.000000,0.082963,0.045989,0.008374
1,8,4000,2000,1.000000,0.082503,0.045179,0.008251
2,8,4000,2000,1.000000,0.082694,0.045774,0.008388
0,16,4000,2000,1.000000,0.082236,0.045451,0.008172
1,16,4000,2000,1.000000,0.082181,0.049285,0.010576
2,16,4000,2000,1.000000,0.084893,0.047745,0.009432
0,32,4000,2000,1.000000,0.088487,0.048143,0.008255
1,32,4000,2000,1.000000,0.086790,0.046177,0.009717
2,32,4000,2000,1.000000,0.083094,0.045769,0.008255
0,4,4000,2500,1.000000,0.083118,0.045671,0.009665
1,4,4000,2500,1.000000,0.088649,0.049520,0.009425
2,4,4000,2500,1.000000,0.090259,0.045549,0.009912
0,8,4000,2500,1.000000,0.086684,0.045946,0.008936
1,8,4000,2500,1.000000,0.082893,0.046534,0.008642
2,8,4000,2500,1.000000,0.083089,0.045807,0.008311
0,16,4000,2500,1.000000,0.083527,0.045759,0.008249
1,16,4000,2500,1.000000,0.083564,0.045965,0.008384
2,16,4000,2500,1.000000,0.084096,0.046085,0.008409
0,32,4000,2500,1.000000,0.083542,0.046179,0.008506
1,32,4000,2500,1.000000,0.086272,0.046447,0.008352
2,32,4000,2500,1.000000,0.090762,0.059006,0.013378
0,4,6000,500,1.000000,0.212822,0.127345,0.032558
1,4,6000,500,1.000000,0.213502,0.126863,0.032384
2,4,6000,500,1.000000,0.216608,0.122198,0.032592
0,8,6000,500,1.000000,0.214916,0.126943,0.032162
1,8,6000,500,1.000000,0.214836,0.128281,0.032263
2,8,6000,500,1.000000,0.213745,0.122000,0.018689
0,16,6000,500,1.000000,0.188565,0.099277,0.018261
